Sedol,Fund name,Share class,Ongoing Charge,AMC,Admin Cost Charge,Perf Fee,Entry Charge,Taxes,Trade Ex,Research,Pricing Basis,Dilution Rates,Umbrella
3328389,UK Equity,A,1.52,1.50,0.02,N/A,0.00,0.14,0.04,0.04,Single Swing,0.15 / 0.60,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
3273069,UK Equity,B,0.03,0.00,0.03,N/A,0.00,0.14,0.04,0.04,Single Swing,0.15 / 0.60,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B7F1244,UK Equity,A,1.52,1.50,0.02,N/A,0.00,0.14,0.04,0.04,Single Swing,0.15 / 0.60,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B88NK73,UK Equity,X,0.77,0.75,0.02,N/A,0.00,0.14,0.04,0.04,Single Swing,0.15 / 0.60,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B8BH0R2,UK Equity,X,0.77,0.75,0.02,N/A,0.00,0.14,0.04,0.04,Single Swing,0.15 / 0.60,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BBT3J65,UK Equity,B,0.03,0.00,0.03,N/A,0.00,0.14,0.04,0.04,Single Swing,0.15 / 0.60,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
BW0DL87,UK Equity,A,1.65,1.50,0.15,N/A,0.00,0.37,0.02,0.02,Dilution Levy,0.15 / 0.60,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BSL7D62,UK Equity,B,0.15,0.00,0.15,N/A,0.00,0.37,0.02,0.02,Dilution Levy,0.15 / 0.60,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BH65MY5,UK Equity,Z,0.90,0.75,0.15,N/A,0.00,0.37,0.02,0.02,Dilution Levy,0.15 / 0.60,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BH65MZ6,UK Equity,Z,0.90,0.75,0.15,N/A,0.00,0.37,0.02,0.02,Dilution Levy,0.15 / 0.60,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
3354726,UK Focus,A,2.03,2.00,0.03,N/A,0.00,0.32,0.09,0.08,Single Swing,0.15 / 0.55,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
3354737,UK Focus,B,0.03,0.00,0.03,N/A,0.00,0.32,0.09,0.08,Single Swing,0.15 / 0.55,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B7S3QT0,UK Focus,X,1.53,1.50,0.03,N/A,0.00,0.32,0.09,0.08,Single Swing,0.15 / 0.55,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B845051,UK Focus,X,1.53,1.50,0.03,N/A,0.00,0.32,0.09,0.08,Single Swing,0.15 / 0.55,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B7FRND8,UK Income,A,1.53,1.50,0.03,N/A,0.00,0.23,0.08,0.07,Single Swing,0.20 / 0.50,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B7FRNF0,UK Income,B,1.03,1.00,0.03,N/A,0.00,0.23,0.08,0.07,Single Swing,0.20 / 0.50,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B83QP49,UK Income,X,0.78,0.75,0.03,N/A,0.00,0.23,0.08,0.07,Single Swing,0.20 / 0.50,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B7XCNP7,UK Income,X,0.78,0.75,0.03,N/A,0.00,0.23,0.08,0.07,Single Swing,0.20 / 0.50,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
3397572,UK Smaller Companies Fund,A,1.03,1.00,0.03,N/A,0.00,0.08,0.01,0.03,Single Swing,0.95 / 1.25,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
3397583,UK Smaller Companies Fund,B,0.03,0.00,0.03,N/A,0.00,0.08,0.01,0.03,Single Swing,0.95 / 1.25,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B6Q8SG1,Tortoise Fund ,A,2.57,2.50,0.07,N/A,0.00,0.33,0.20,0.15,Single Swing,0.10 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B79FF32,Tortoise Fund ,B,0.07,0.00,0.07,N/A,0.00,0.33,0.20,0.15,Single Swing,0.10 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B7M54C1,Tortoise Fund ,C,1.57,1.50,0.07,Yes,0.00,0.33,0.20,0.15,Single Swing,0.10 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B7T2265,Tortoise Fund ,H,1.57,1.50,0.07,Yes,0.00,0.33,0.20,0.15,Single Swing,0.10 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B7RL0S2,Tortoise Fund ,I,1.57,1.50,0.07,Yes,0.00,0.33,0.20,0.15,Single Swing,0.10 / 0.15,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
B240WY7,Tortoise Fund ,A,1.09,1.00,0.09,N/A,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
B240WZ8,Tortoise Fund ,B,0.09,0.00,0.09,N/A,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
B3CQKZ1,Tortoise Fund ,C,1.59,1.50,0.09,Yes,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
B4MNRG9,Tortoise Fund ,D,1.59,1.50,0.09,Yes,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
B4JQ460,Tortoise Fund ,E,1.59,1.50,0.09,Yes,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
B4JQ4Y8,Tortoise Fund ,F,1.59,1.50,0.09,Yes,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
B51FHZ2,Tortoise Fund ,G,1.59,1.50,0.09,Yes,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
B3R27F3,Tortoise Fund ,H,1.59,1.50,0.09,Yes,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
B3W6GN1,Tortoise Fund ,I,1.59,1.50,0.09,Yes,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BG49LB2,Tortoise Fund ,Z,1.59,1.50,0.09,Yes,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BG49LC3,Tortoise Fund ,Z,1.59,1.50,0.09,Yes,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BG49LD4,Tortoise Fund ,Z,1.59,1.50,0.09,Yes,0.00 *,0.31,0.22,0.15,Dilution Levy,0.10 / 0.15,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BD6L0F2,Majedie Institutional Trust,A,1.58,1.50,0.08,N/A,0.00,0.15,0.05,0.03,Single Swing,0.15 / 0.60,UK Domiciled Funds - Majedie Institutional Trust
BD6L0G3,Majedie Institutional Trust,B,0.08,0.00,0.08,N/A,0.00,0.15,0.05,0.03,Single Swing,0.15 / 0.60,UK Domiciled Funds - Majedie Institutional Trust
BYZ4J52,Majedie Institutional Trust,X,0.83,0.75,0.08,N/A,0.00,0.15,0.05,0.03,Single Swing,0.15 / 0.60,UK Domiciled Funds - Majedie Institutional Trust
BNGWXX4,US Equity,A,1.60,1.50,0.10,N/A,0.00,0.00,0.08,0.02,Dilution Levy,0.05 / 0.05,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BNGWXW3,US Equity,A,1.60,1.50,0.10,N/A,0.00,0.00,0.08,0.02,Dilution Levy,0.05 / 0.05,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BNGWXZ6,US Equity,B,0.10,0.00,0.10,N/A,0.00,0.00,0.08,0.02,Dilution Levy,0.05 / 0.05,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BNGWXY5,US Equity,B,0.10,0.00,0.10,N/A,0.00,0.00,0.08,0.02,Dilution Levy,0.05 / 0.05,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BNGWY19,US Equity,Z,0.85,0.75,0.10,N/A,0.00,0.00,0.08,0.02,Dilution Levy,0.05 / 0.05,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BNGWY08,US Equity,Z,0.85,0.75,0.10,N/A,0.00,0.00,0.08,0.02,Dilution Levy,0.05 / 0.05,Ireland Domiciled Funds - Majedie Asset Management (International) Investment Fund Company PLC
BN31T70,Global Equity,A,1.61,1.50,0.11,N/A,0.00,0.06,0.03,0.01,Single Swing,0.08 / 0.10,UK Domiciled Funds - Majedie Asset Management Investment Fund Company
