Institutional Access,Retail Access,Sedol,Strategy,Domicile,Share Class,Type,ISIN,Currency,Price Currency,Time,Nav,Navdate,Price Swing *,Ongoing Charge,AMC,Admin Cost Charge,Perf Fee,Entry Charge,Taxes,Trade Ex,Research,Pricing Basis,Dilution Rates
y,n,3328389,UK Equity Fund,UK,A,Acc,GB0033283895,GBP,GBPence,Noon,401.21,20160211,Up,1.52,1.5,0.02,N/A,0,0.14,0.04,0.04,Single Swing,0.15 / 0.60
y,n,3273069,UK Equity Fund,UK,B,Acc,GB0032730698,GBP,GBPence,Noon,459.05,20160211,Up,0.03,0,0.03,N/A,0,0.14,0.04,0.04,Single Swing,0.15 / 0.60
y,n,B7F1244,UK Equity Fund,UK,A,Inc,GB00B7F12442,GBP,GBPence,Noon,374.71,20160211,Up,1.52,1.5,0.02,N/A,0,0.14,0.04,0.04,Single Swing,0.15 / 0.60
y,y,B88NK73,UK Equity Fund,UK,X,Acc,GB00B88NK732,GBP,GBPence,Noon,125.04,20160211,Up,0.77,0.75,0.02,N/A,0,0.14,0.04,0.04,Single Swing,0.15 / 0.60
y,y,B8BH0R2,UK Equity Fund,UK,X,Inc,GB00B8BH0R25,GBP,GBPence,Noon,115.1,20160211,Up,0.77,0.75,0.02,N/A,0,0.14,0.04,0.04,Single Swing,0.15 / 0.60
y,n,BBT3J65,UK Equity Fund,UK,B,Inc,GB00BBT3J657,GBP,GBPence,Noon,426.62,20160211,Up,0.03,0,0.03,N/A,0,0.14,0.04,0.04,Single Swing,0.15 / 0.60
y,n,BSL7D62,UK Equity Fund,Ireland,B,Acc,IE00BSL7D622,USD,USD,Noon,0.8096,20160211,None,1.65,1.5,0.15,N/A,0,0.37,0.02,0.02,Dilution Levy,0.15 / 0.60
y,y,BH65MY5,UK Equity Fund,Ireland,Z,Acc,IE00BH65MY57,GBP,GBP,Noon,0.8737,20160211,None,0.15,0,0.15,N/A,0,0.37,0.02,0.02,Dilution Levy,0.15 / 0.60
y,y,BH65MZ6,UK Equity Fund,Ireland,Z,Inc,IE00BH65MZ64,GBP,GBP,Noon,0.8338,20160211,None,0.9,0.75,0.15,N/A,0,0.37,0.02,0.02,Dilution Levy,0.15 / 0.60
y,n,BW0DL87,UK Equity Fund,Ireland,A,Acc,IE00BW0DL879,GBP,GBP,Noon,0.8244,20160211,None,1.65,1.5,0.15,N/A,0,0.37,0.02,0.02,Dilution Levy,0.15 / 0.60
y,n,3354726,UK Focus Fund,UK,A,Acc,GB0033547265,GBP,GBPence,Noon,476.84,20160211,None,2.03,2,0.03,N/A,0,0.32,0.09,0.08,Single Swing,0.15 / 0.55
y,n,3354737,UK Focus Fund,UK,B,Acc,GB0033547372,GBP,GBPence,Noon,596.62,20160211,None,0.03,0,0.03,N/A,0,0.32,0.09,0.08,Single Swing,0.15 / 0.55
y,y,B7S3QT0,UK Focus Fund,UK,X,Acc,GB00B7S3QT06,GBP,GBPence,Noon,132.92,20160211,None,1.53,1.5,0.03,N/A,0,0.32,0.09,0.08,Single Swing,0.15 / 0.55
y,y,B845051,UK Focus Fund,UK,X,Inc,GB00B8450512,GBP,GBPence,Noon,125.52,20160211,None,1.53,1.5,0.03,N/A,0,0.32,0.09,0.08,Single Swing,0.15 / 0.55
y,n,B7FRND8,UK Income Fund,UK,A,Inc,GB00B7FRND86,GBP,GBPence,Noon,138.54,20160211,Up,1.53,1.5,0.03,N/A,0,0.23,0.08,0.07,Single Swing,0.20 / 0.50
y,n,B7FRNF0,UK Income Fund,UK,B,Acc,GB00B7FRNF01,GBP,GBPence,Noon,167.58,20160211,Up,1.03,1,0.03,N/A,0,0.23,0.08,0.07,Single Swing,0.20 / 0.50
y,y,B83QP49,UK Income Fund,UK,X,Acc,GB00B83QP495,GBP,GBPence,Noon,146.72,20160211,Up,0.78,0.75,0.03,N/A,0,0.23,0.08,0.07,Single Swing,0.20 / 0.50
y,y,B7XCNP7,UK Income Fund,UK,X,Inc,GB00B7XCNP79,GBP,GBPence,Noon,127.84,20160211,Up,0.78,0.75,0.03,N/A,0,0.23,0.08,0.07,Single Swing,0.20 / 0.50
y,n,3397572,UK Smaller Companies Fund,UK,A,Acc,GB0033975722,GBP,GBPence,Noon,239.44,20160211,None,1.03,1,0.03,N/A,0,0.08,0.01,0.03,Single Swing,0.95 / 1.25
y,n,3397583,UK Smaller Companies Fund,UK,B,Acc,GB0033975839,GBP,GBPence,Noon,264.97,20160211,None,0.03,0,0.03,N/A,0,0.08,0.01,0.03,Single Swing,0.95 / 1.25
y,n,B6Q8SG1,Tortoise Fund,UK,A,Acc,GB00B6Q8SG18,GBP,GBP,"C.O.B., NY",2.0097,20160210,None,2.57,2.5,0.07,N/A,0,0.33,0.2,0.15,Single Swing,0.10 / 0.15
